アビリティ名,効果詳細
アツアツ砂浜対策,"[バトル開始時]
自身に「ダメージブロック」(効果1ターン)を付与する"
エクストラサマー,"[バトル開始から数えて5ターン目のターン開始時以降]
自身に「エクストラフォース(Critical/中)」(効果バトル中永続)を付与する"
エクストラチョコレート,"[バトル開始時]
自身に「エクストラフォース(バレンタイン/極小)」を付与する"
クリティカルサマー,"[バトル開始から数えて5ターン目のターン開始時以降]
自身の全ての攻撃がCriticalになる"
パワーチャージⅢ,"[バトル開始時]
自身のBPを回復する(+3)"
ぴっかぴか～,"[攻撃を受けた時]
味方生存者全体の精神を上昇させる(効果中)"
ブロックチョコレート,"[バトル開始時]
自身に「ダメージブロック(1回)」(効果ターン数制限なし)を付与する"
リヴァイヴァチョコレート,"[バトル開始時]
味方生存者全体に「ターン終了時HP回復(気絶時)(中/1回)」(効果ターン数制限なし)を付与する"
ロトの守り,被ダメージを10%軽減する
ロバストガードⅠ({属性}),"[{属性}属性を含む攻撃を受けた時]
被ダメージを15%軽減する"
ロバストガードⅠ({変数}),"[{変数}攻撃を受けた時]
被ダメージを15%軽減する"
炎天の代償,"[バトル開始時]
自身が代償ダメージを受ける(自身の最大HPの80%)
※代償ダメージは被ダメージ軽減効果によって軽減できない"
禍ツ妖光・気,腕力・体力・器用さ・素早さ・知力・精神・愛・魅力を50上昇させる
禍ツ妖光・護,被ダメージを15%軽減する
禍ツ妖光・攻,敵に与えるダメージが60%上昇する
強大な力の奔流,"[バトル開始時]
＜飯綱こよみ以外のキャラクターが装備している場合＞
以下の効果が発動する
・味方生存者全体の与えるダメージが10000%低下する(効果バトル中永続)
・味方生存者全体に「HP回復量低下・禁」(効果バトル中永続)、「ターン終了時BPダウン(20)」(効果バトル中永続)を付与する"
金剛の纏い,"[バトル開始時]
自身に「ダメージブロック(1回)」(効果ターン数制限なし)を付与する"
堅牢の刻印,被ダメージを15%軽減する
堅牢の刻印・弐,被ダメージを20%軽減する
御霊憑き・弐,"[バトル開始時]
＜飯綱こよみが装備している場合＞
自身に「ダメージブロック」(効果1ターン)を付与する"
攻勢の縁({作品}),"＜シリーズが「{作品}」であるキャラクターが装備している場合＞
シリーズが「{作品}」である味方全体の敵に与えるダメージが15%上昇する
※シリーズ「その他」のキャラクターは対象外"
攻勢の縁({作品1}＆{作品2}),"＜シリーズが「{作品1}」または「{作品2}」であるキャラクターが装備している場合＞
シリーズが「{作品1}」または「{作品2}」である味方全体の敵に与えるダメージが15%上昇する
※シリーズ「その他」のキャラクターは対象外"
攻勢の縁・弐({作品}),"＜シリーズが「{作品}」であるキャラクターが装備している場合＞
シリーズが「{作品}」である味方全体の敵に与えるダメージが20%上昇する
※シリーズ「その他」のキャラクターは対象外"
